fineAGE,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_transversetemporal_thickness,lh_insula_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_transversetemporal_thickness,rh_insula_thickness
2.58,3.315198495974549,3.014102521755915,2.5680315038949573,3.454600175568443,3.192150154253704,3.0377293488923063,3.3900083604915077,2.7979050878433513,2.7000111486397436,3.517849473825403,2.6818056629901776,3.4921928875518495,3.257019847052993,2.8883660722346445,2.9206860267640407,3.0432313289704913,3.1973630661179486,3.001744795261789,2.176047994055327,2.5145835133292893,2.9743229854809154,2.8146597916648206,2.9800171735346352,3.5450531106389254,3.0937267023763644,3.377909686202997,2.7131659619360304,3.1767763005888354,3.071922868299608,2.86294231235565,3.651765807191891,3.17873764658598,3.022826342969507,2.5599424672713598,3.55826791831342,3.238653741169571,3.0409791476514396,3.376213227161199,2.7822167756983816,2.7601250074551245,3.502187130024515,2.7422953937890164,3.516937807095585,3.2975125953961033,2.8531800693294396,2.911518964923689,3.051303464958116,3.2765761513256213,3.002949797285197,2.2125783711758915,2.496652183025859,2.957314052394468,2.7945253593124706,2.976623017228509,3.6426545349802066,3.0746785424162484,3.3521166855059765,2.7243305906510855,3.2255861311130167,3.0392864946208045,2.9411988586238933,3.623995651359604
2.67,3.3140408336766654,3.0158824365370247,2.564387538222139,3.4679278751118434,3.1907189827120237,3.03522351636602,3.387382146762671,2.795515754806746,2.6971358561017778,3.5088050429165514,2.681163215967361,3.4775387724195075,3.2542266119359398,2.8917871267491346,2.923196405625908,3.0420841302108594,3.1930645331887524,2.997816458605889,2.1740517746382406,2.514983154772012,2.975431065138361,2.8187369734315584,2.9767664823381574,3.5364250924861995,3.0874038356878515,3.374096658021135,2.711020329794142,3.1787839730477114,3.0700645253856425,2.8612089449011875,3.6513742364415775,3.172929611820819,3.024644064739502,2.5553949096694017,3.5725591423577168,3.236424268349579,3.0382128585271664,3.3742091078840395,2.7783254032123095,2.7586595657279176,3.494634125620843,2.7410697920804434,3.503592462228015,3.2952829008438966,2.858173980881784,2.9131677984547366,3.052250668371777,3.2758933969728625,3.0011285464863233,2.208676544329985,2.4969085662057817,2.95577726153854,2.7985901272633464,2.9735555671012306,3.63530304415989,3.0691726512644855,3.348151938146059,2.72222109627121,3.2287252095997805,3.0375809003580083,2.9399483038587837,3.6243891482595982
2.75,3.3128700837156386,3.0173418419713225,2.5610251894379727,3.4790792695537394,3.1894190644579674,3.032991351359218,3.3850018330432916,2.7934117483198246,2.6945868311364842,3.500913904286226,2.680460068974557,3.4648525550561193,3.2517529049608913,2.8946586518694675,2.9253045978272545,3.041019758575387,3.189281852596486,2.9943566843709024,2.1720643946688587,2.5152246192288534,2.9763265370348604,2.822191446990994,2.9738740384258966,3.5288264797792213,3.0819118611934555,3.370740008593791,2.709077176105028,3.180410400528361,3.0683756311678567,2.859643882069494,3.650967319954328,3.167910687951191,3.0261103516627403,2.551259034685467,3.584539635715432,3.234413116256255,3.035751698671338,3.372362278590282,2.7749833601314315,2.7572785288952093,3.488016859329919,2.7398595026070414,3.4920062674952805,3.29329206172598,2.8623873958611736,2.914544038621735,3.0529650155609316,3.2751763455531293,2.999488969015336,2.2050887283826497,2.4970167350744297,2.9544168518970313,2.802027628763471,2.9708087485311077,3.628843293124085,3.064376455588065,3.34468352773616,2.72030637703716,3.2313141469456195,3.036041619120422,2.9386814789166085,3.624623361870797
2.83,3.311565953230044,3.0186857264288682,2.557546823537471,3.4895761231987583,3.1880930137120864,3.0307547079366337,3.3825783178971185,2.7913264195751832,2.69204419734673,3.4931623943720185,2.67963260859585,3.4524860202849657,3.249287827336011,2.897370730188971,2.9272967846866065,3.039913373382559,3.1855351603025923,2.9909271036138056,2.169876579207949,2.5153590037975677,2.977137785120529,2.825486214187138,2.9709788268651627,3.521294442848348,3.076540688064658,3.367414144066714,2.707100210539635,3.1818879618814115,3.0666518815620076,2.858055956403862,3.6505050118453526,3.1630270805045324,3.0274359649283773,2.547035064115676,3.5958398308106707,3.2323742950094676,3.03328843416628,3.3704539058270813,2.771751392047749,2.755823683155132,3.481490431063681,2.7385354571501574,3.4806801518575474,3.291292857050563,2.8663884649473084,2.9158361473643777,3.053559257902305,3.274355615392948,2.997829920606005,2.2013884179245933,2.4970122194336337,2.95306173794952,2.805299835612,2.96804292174003,3.622454043237591,3.059672429127467,3.341267643882102,2.718354374867951,3.2337135740397924,3.034480504990191,2.9372685638977076,3.6247488118010374
2.92,3.309939375025478,3.020059512776084,2.5534949851900373,3.5006027027531377,3.186569970128837,3.0282331309798596,3.379800224152209,2.78900275047628,2.6891913737852677,3.4846088456682707,2.678553122325716,3.4389557892659477,3.2465249297781447,2.9002312295442976,2.9293993322680256,3.038618470710352,3.1813631487348584,2.9871049159036116,2.1671757037659583,2.515382192508595,2.9779497654430234,2.829001928270427,2.967718405654521,3.512900480158491,3.070642513677079,3.363709344049852,2.704835708520202,3.183372276860448,3.064671000174384,2.856242211798833,3.649918704924912,3.1576947675388722,3.0287591308708675,2.542177795469692,3.6077393812759464,3.2300475478218336,3.0305147458845556,3.3682334227901625,2.768247001973691,2.7540987569879554,3.474256779090545,2.7369099320621593,3.468249147558341,3.2890337523352695,2.8706358479686793,2.9171892063566762,3.0540842177104888,3.273308365468303,2.995940217289521,2.197091102564434,2.4968724461350447,2.951543564767801,2.808783489553359,2.9649086458359575,3.6153504080203223,3.0544905703750844,3.3374875601950675,2.71611380766916,3.2361864055480423,3.032698154464192,2.9355044112066064,3.6247599363851624
3,3.3083518109251786,3.021157915158032,2.5497700829173233,3.509708657204793,3.1851883878378295,3.0259869709237357,3.377284905974099,2.7869571119339827,2.686662321243533,3.4771540467758144,2.6774614960019636,3.427268580003292,3.244078189522374,2.90260448341204,2.9311450077756414,3.0374228067081464,3.177692931575004,2.9837394962870314,2.1645619628855504,2.51528903231504,2.978582037930677,2.831957319444575,2.9648173128407813,3.5055099167518406,3.06552804345018,3.3604488974358415,2.7027868927177154,3.1845334976923514,3.062873182868902,2.8546057026110803,3.6493386896197717,3.153098707491023,3.029785812614101,2.537766621779956,3.617593942563421,3.227949929623939,3.0280470089998826,3.3661942701543963,2.7652489432590475,2.752487067319719,3.467923381626764,2.7353441551403788,3.4574756999974845,3.2870167708501645,2.874185682031648,2.918302535822564,3.054423237250329,3.27226731798467,2.9942397931362126,2.193151741271096,2.4966284759116824,2.9501997041700343,2.811704445267247,2.962102426575351,3.6091109730761146,3.0499824034981122,3.334183295272174,2.7140825792627408,3.2381831233574245,3.031090645437091,2.933781054774661,3.6246542634933667
3.08,3.3066308663003112,3.0221407965632285,2.545929163528274,3.518160070859571,3.183780673054998,3.0237363324518287,3.3747263863691943,2.784930151133965,2.6841396598773377,3.4698388765994768,2.676245556292308,3.41590105333287,3.241640078616772,2.9048182904789535,2.932774677941263,3.0361851291485857,3.1740587027135225,2.98040427014834,2.1617477865136148,2.5150887922333585,2.979130086607501,2.8347530042554303,2.9619134523785684,3.4981859291212953,3.06053437458888,3.357219235722098,2.700704265038949,3.1855458523966558,3.0610405101753573,2.8529463305893885,3.648703282692906,3.1486379638661433,3.030671820699733,2.533267352504364,3.6267682055884185,3.2258246422725807,3.0255771674659786,3.3640935740491873,2.7623609595415997,2.750801568744113,3.461680822187669,2.733664622235117,3.44696233153163,3.28499142380756,2.877523170201362,2.919331733864096,3.054642151942389,3.27112259176059,2.992519898044561,2.1890998854670363,2.4962718211788766,2.948861139266265,2.8144601063295385,2.959277199093789,3.6029420392812193,3.045566405836964,3.330931556905123,2.7120140679211624,3.2399903309151408,3.0294613035173468,2.9319116082659895,3.6244398269206117
3.16,3.3047765411508765,3.023008156991673,2.5419722270228897,3.525956943717472,3.1823468257803422,3.0214812155641386,3.372124665337495,2.782921868076227,2.6816233896866812,3.462663335139257,2.6749053031967485,3.4048532092546835,3.2392105970613385,2.906872650745038,2.9342883427648903,3.0349054380316702,3.1704604621504116,2.977099237487539,2.1587331746501506,2.5147814722635506,2.9795939114734935,2.8373889827029934,2.959006824267882,3.490928517266855,3.055661507093179,3.354020358908621,2.6985878254839033,3.186409340973362,3.0591729820937497,2.8512640957337583,3.648012484144315,3.1443125366642324,3.031417155127764,2.5286799876429153,3.6352621703509387,3.22367168576776,3.023105221282844,3.361931334474536,2.759583050821347,2.7490422612611383,3.455529100773259,2.731871333346374,3.4367090421607753,3.2829577112074544,2.8806483124778217,2.9202768004812727,3.0547409617866688,3.2698741867960615,2.990780532014568,2.184935535152256,2.4958024819366273,2.947527870056493,2.8170504727402346,2.9564329633912725,3.5968436066356344,3.04124257739164,3.327732345093914,2.7099082736444267,3.2416080282211905,3.027810128704957,2.929896071680591,3.6241166266668987
3.17,3.304535372189063,3.0231084544765507,2.5414694525062247,3.526885530424929,3.1821657574301785,3.0211990110645677,3.371796412608212,2.7826721459727644,2.681309305292379,3.461776210100832,2.6747290307748575,3.4034947064271766,3.2389075186180936,2.9071182346751154,2.934469394242235,3.0347425225638043,3.1700132125072518,2.9766882313838527,2.158342255046719,2.5147355282126904,2.9796459675950433,2.83770725065527,2.9586433011537627,3.490026021894307,3.0550608925022353,3.353622663870236,2.6983208931419713,3.186506809895853,3.058937090314075,2.851052208833793,3.6479222396023383,3.1437813726999835,3.031500430814718,2.528100372814354,3.636276082474673,3.2234006207173045,3.0227960800268034,3.3616567272525093,2.759243551879556,2.7488171581369674,3.454766522645069,2.731639173767693,3.4354456678007863,3.28270290892918,2.8810240246917593,2.920389018317645,3.054744868145094,3.269710846264058,2.9905617422104664,2.184407081592624,2.4957358914017758,2.947361583758756,2.8173626462613814,2.956076097412922,3.5960862596669974,3.0407085794839612,3.3273361368909704,2.7096424279034563,3.2417969154448767,3.027602196728145,2.9296338576488967,3.6240685791888674
3.25,3.3025309939494907,3.023845853806149,2.5373819967449633,3.5339460448863433,3.1807025111022207,3.0189388559591213,3.36914608997137,2.7806848753750906,2.6788002251742036,3.454757750946245,2.673248925120157,3.3928065052652534,3.2364877450816003,2.9089932172902677,2.935852553056119,3.0334155661948654,3.1664554587798097,2.973417166385678,2.1551021532552856,2.51430774336874,2.9800150406738517,2.8401635594441292,2.9557335594385443,3.4828435077879845,3.0503239265428337,3.3504584200695593,2.6961664152261116,3.1872028240790105,3.0570303499208973,2.849344253289981,3.647169125479307,3.139608176473913,3.032087507377947,2.5234139004188174,3.6440047116919065,3.2212165364148384,3.020321766113285,3.3594252512747342,2.7565894775311475,2.746974815633202,3.448716994008431,2.7297179093975337,3.4254849674118084,3.2806597850768866,2.8839102778383077,2.921239437082422,3.0547085600356207,3.268345802716526,2.9888004713748373,2.1801161749532825,2.495139782086403,2.946034272204731,2.8197670561890327,2.9532104774618317,3.5900671408143885,3.0364884414064384,3.3241960174550833,2.7074946903246673,3.243201413717802,3.0259264599115303,2.927453969727181,3.623623019794076
3.33,3.3003932351853504,3.0244677321589957,2.5331785238673667,3.5403520185508808,3.179213132282438,3.0166742224378917,3.366452565907734,2.7787162825196976,2.676297536231567,3.4478789205077773,2.6716445060795526,3.3824379866955643,3.2340766008952757,2.910708753104591,2.937119706528009,3.032046596268571,3.1629336933507384,2.970176294865393,2.1516616159723236,2.5137728786366624,2.980299889941829,2.842460161869697,2.952821050074852,3.475727569457767,3.0457077619490307,3.347324961169149,2.6939781254339725,3.187749972134569,3.055088754139656,2.8476134349122297,3.64636061973455,3.135570296670812,3.0325339102835747,2.518639332437424,3.6510530426466627,3.2190047829589092,3.017845347550536,3.357132231827517,2.754045478179934,2.745058664222068,3.4427583033964786,2.7276828890438933,3.415784346117832,3.278608295667093,2.8865841850916008,2.922005724422844,3.054552147078367,3.2668770804285465,2.9870197296008656,2.1757127738032205,2.494430988261587,2.9447122563447032,2.8220061714650875,2.9503258492897864,3.58411852311109,3.0323604725447395,3.3211084245750384,2.70530966981072,3.244416401739061,3.024228890202272,2.9251279917287385,3.6230686967183265
3.42,3.29782882516742,3.0250292616384247,2.5283109401707016,3.546776358127218,3.177506344616049,3.0141211566201433,3.3633707121306786,2.776523941296198,2.6734896506231123,3.4403071362142357,2.669690941314785,3.371155523903195,3.2313743784557847,2.9124481421415886,2.938406591548534,3.030456285771215,3.1590147245059317,2.966566405046612,2.147551428480524,2.5130431618842985,2.980519671594421,2.8448529405860876,2.9495411688358826,3.4678017176936478,3.04065897216332,3.3438366174822876,2.69147588365945,3.1881875721539266,3.052862795804716,2.8456389360060674,3.645384840473856,3.1311894273041534,3.0328679645710537,2.513162641703388,3.658169245953896,3.216483487035991,3.01505686095391,3.3544790212710796,2.751315052929904,2.7428147691749523,3.4361633562844145,2.725257517197044,3.4051820229553518,3.2762903706256266,2.8893385110510246,2.9227672343376434,3.0542326196755942,3.2651008393601284,2.98499312124916,2.1706244814145546,2.4934989020059746,2.9432313185114034,2.824327597387414,2.947057921832125,3.5775105990999165,3.0278266785911168,3.3176976682337678,2.702806956974098,3.2455567392902824,3.0222930271498667,2.9223366431856546,3.622315076670712
