fineAGE,Left.Cerebellum.White.Matter,Left.Cerebellum.Cortex,Left.Thalamus.Proper,Left.Caudate,Left.Putamen,Left.Pallidum,Left.Hippocampus,Left.Amygdala,Left.Accumbens.area,Left.VentralDC,Right.Cerebellum.White.Matter,Right.Cerebellum.Cortex,Right.Thalamus.Proper,Right.Caudate,Right.Putamen,Right.Pallidum,Right.Hippocampus,Right.Amygdala,Right.Accumbens.area,Right.VentralDC
1.92,8.667589870074385,47.830146775320515,6.375613317597075,2.962620727427564,4.375204124842666,1.1893890545800418,2.8526970346613822,0.9121978818772323,0.7035096932788321,2.998740758866182,8.216114526941594,47.33127223731624,6.196835561235226,3.249014773004922,4.359864285566306,1.2688421187998953,2.9713497225827976,1.1250709278606337,0.5668278717081707,3.100411737827766
2,8.663496157074372,47.6204351024037,6.348180552980594,2.9425208314192197,4.366945493825317,1.1874854968174808,2.845447194071614,0.9107108399736654,0.7086885851293719,2.9960521392638,8.206710649308091,47.12710044943239,6.173602248665424,3.236040234933571,4.357929400392506,1.2687067997338388,2.9678572400766057,1.123091202697782,0.5700863344534,3.101911694184788
2.08,8.660325175630955,47.41589914713229,6.321523510518281,2.9231171716165774,4.3591890325263645,1.1858320608545658,2.8385472365253213,0.9093357440932529,0.7136604520582578,2.993382343928107,8.198360798767046,46.92757830673575,6.150964429790094,3.223511682627765,4.356282279511538,1.268703188088927,2.9645707039660674,1.1211607930783798,0.5732310910423255,3.1032207281435453
2.083,8.660224213839138,47.40832973269193,6.320538961645974,2.922403078343917,4.3589079339979575,1.1857749226565903,2.838295294435915,0.9092863556977191,0.7138428697864119,2.993282592793831,8.198068183492541,46.92018667651365,6.150127095795545,3.223050537733143,4.35622611039326,1.2687056147731695,2.9644514651629006,1.1210893620590832,0.5733468074743383,3.10326610287972
2.17,8.657860774070853,47.191982797449974,6.292461568135583,2.9021202741782344,4.351063263306565,1.1842709191099259,2.831203003861146,0.9079225717085904,0.7190063428765894,2.9904013250567285,8.190227108667328,46.70867367521486,6.126208684612022,3.2099501536441144,4.354773236776723,1.2688565565152379,2.9611195211427677,1.1190480297420822,0.5766330278149103,3.1044651794179705
2.25,8.656650597185203,46.99844524217505,6.267452935250878,2.8841961163127108,4.344373912659208,1.1831489919712586,2.8250465477822386,0.9067853611273807,0.7235382818469596,2.9877715312877493,8.184117065697759,46.51903202854104,6.104836289837444,3.198369321090095,4.353737615018024,1.2691328231402585,2.958270621122994,1.1172224156525108,0.57953615882169085,3.1053685032804137
2.33,8.65636315185615,46.81008340454554,6.243220024520342,2.8669681946528898,4.3381867317302465,1.1822771866322372,2.819239974746807,0.9057600965693253,0.7278631958956757,2.985160561785459,8.17906104982065,46.33404002705443,6.084059388757339,3.1872344743016225,4.352989757552154,1.2695407971864237,2.955627667498874,1.1154461171063892,0.582325583672168,3.1060809047445916
2.41,8.656998438083694,46.62689728456143,6.219762835943975,2.8504365091987713,4.332501720519683,1.181655503092862,2.8137832847548503,0.9048467780344243,0.7319810850227374,2.9825684165498574,8.175059061035999,46.15369767075502,6.0638779813717045,3.1765456132786962,4.352529664379117,1.2700804786537334,2.9531906602704083,1.1137191341037174,0.5850013023663416,3.106602383810504
2.42,8.65714272842471,46.60436293721036,6.216885230335893,2.8484190026252203,4.331826402926688,1.1815953793394776,2.81312579965735,0.9047404844223147,0.73248126472381625,2.982245721976659,8.174632923717855,46.131481804394824,6.061397176098893,3.1752408640249703,4.3524923861593265,1.2701571995151963,2.9529005149727947,1.1135067287275322,0.5853277722389982,3.106654144462615
2.5,8.658816087653424,46.42699949957733,6.194300729182966,2.8326705829025176,4.326706332649321,1.181255082824704,2.808062728089303,0.9039531051634621,0.736366250814017,2.9796747540410826,8.171816715412222,45.956370298931034,6.041885699119539,3.1650537369882836,4.352356027815726,1.270845051831294,2.950695197439439,1.1118352257112412,0.5878755715073303,3.106960835830479
2.58,8.661412178438733,46.25481177958971,6.172491950184206,2.817618399385518,4.322088432090353,1.1811649081095763,2.803349539564732,0.903277671927764,0.7400442119825633,2.977122610372195,8.170054534199046,45.78590843865445,6.022969715834658,3.155312595717144,4.352507433764956,1.271664611568536,2.9486958263017375,1.1102130382384,0.5903096646193589,3.107076604800078
2.67,8.66543573313595,46.067287194601654,6.148884304198006,2.8015169127685224,4.317493543703034,1.1813624352686969,2.7984654220499934,0.902651620018405,0.7439344588205131,2.974273949625973,8.169331972093179,45.59969662485614,6.002401035695839,3.1448869041474907,4.353021733714114,1.2727440477997702,2.9466927040728783,1.1084470248169835,0.5929121049804343,3.1069786329617
2.75,8.669992628479028,45.90609787461052,6.128723934776855,2.7879442311886407,4.313942753795659,1.181803769377817,2.7944957349928075,0.9022140720819096,0.747172492030544,2.9717618075237997,8.16980959845148,45.439115260602385,5.98475047651171,3.1360934826281364,4.353784638785613,1.2738434858069445,2.945130969025941,1.106929632873973,0.5951045725103178,3.1066886918349854
2.83,8.675472255378702,45.75008427226479,6.109339287509872,2.775067785814462,4.3108941336066815,1.182495225286583,2.790875930979097,0.9018884701685687,0.7502035003189207,2.969268489688315,8.171341251902236,45.283183541535834,5.967695411022053,3.127746046874329,4.354835308149942,1.2750746312352637,2.9437751803746575,1.1054615564744124,0.5971833338838979,3.106207828310005
2.92,8.682739788204579,45.580755569623875,6.088458789721921,2.7614140046081395,4.308064685635603,1.1835720868975843,2.787221871039077,0.9016559784968615,0.7533659251666797,2.966486008004671,8.174324253793296,45.11331813659881,5.949220263402862,3.1188882740116752,4.356361279441087,1.2766171013689596,2.9424960884430185,1.103868918010436,0.5993860260392186,3.105438644915226
3,8.69018021966202,45.43574036727463,6.070722552032546,2.7500170611710795,4.3060831760982206,1.184795051630598,2.7843455684927516,0.9015682618827233,0.7559570054965409,2.9640326917359,8.178095714815528,44.96726691355508,5.933430622013956,3.1114885580096536,4.3580234479276845,1.278128125067211,2.9415779358824996,1.102505637140706,0.6012231618306537,3.1045520712939316
3.08,8.698543382676055,45.29590088257079,6.05376203649734,2.7393163539397216,4.3046038362792345,1.1862681381632578,2.781819148989902,0.9015924912917395,0.758341060904748,2.9615981997338183,8.182921202930222,44.825865335698566,5.9182364743195235,3.1045348277731786,4.359973380707112,1.279770856186607,2.9408657297176344,1.1011916718144257,0.6029465914657852,3.1034745752743724
3.16,8.707829277246688,45.161237115512364,6.037577243116302,2.7293118829140663,4.303626666178646,1.1879913464955636,2.7796426125305276,0.9017286667239097,0.7605180913913006,2.9591825319984255,8.188800718137374,44.68911340302926,5.903637820319561,3.0980270833022496,4.362211077779373,1.2815452947271475,2.9403594699484223,1.0999270220315953,0.604556314944613,3.1022061568565475
3.17,8.709054893630592,45.144768062277,6.035608686907638,2.7281102781440727,4.3035398287243964,1.1882243342261396,2.7793951466246,0.9017535598576841,0.7607756637623158,2.9588818971127524,8.189609768818206,44.67234633962283,5.9018548592199584,3.097244973617524,4.362511023340244,1.2817763602227643,2.9403106680832156,1.0997724083078904,0.6047495354153514,3.1020341803231917
3.25,8.719378861202395,45.015926977569656,6.020296580950039,2.7188890728498336,4.303127599557006,1.190228929583047,2.7776122285891356,0.902015674565903,0.7627197912120075,2.9564874066773843,8.196675064504376,44.54082525778913,5.8879261356262775,3.0912389631328354,4.365072455241941,1.2836989696120926,2.9400360980091147,1.0985632385114406,0.6062313394683378,3.100550974207319
3.33,8.730625560330797,44.89226161050772,6.00576019714661,2.7103641037612967,4.303217540108011,1.1924836467396005,2.7761791935971463,0.9023897352972764,0.7644568937400448,2.954111740508705,8.204794387283004,44.41395382114265,5.874592905727069,3.0856789384136922,4.367921651436467,1.2857532864225656,2.939967474330668,1.0974033842584408,0.6075994373650206,3.09887684569318
3.42,8.744381049413992,44.75932467256105,5.990333995755156,2.701605733376322,4.303918972969414,1.1953191772543628,2.774985248806563,0.9029443641008729,0.7661636746074219,2.9514616169502177,8.215188517167913,44.27678123392819,5.860304823147132,3.079957002965037,4.371470965411586,1.2882218243611847,2.9401364429934693,1.0961574957093456,0.6090026331088323,3.096765239185598
3.5,8.757588553100158,44.64665770549559,5.977446021529335,2.6945602662249035,4.305076024172013,1.198105403235164,2.774295715281959,0.9035563101314489,0.7674608491769437,2.9491259523482527,8.225547647518017,44.15979029330453,5.8482370173486755,3.0753446979976804,4.3749316607283815,1.29055601944159,2.940505455405787,1.0951024369861766,0.6101291054233702,3.0946854005751456
3.58,8.771718788342922,44.53916645607554,5.965333769457683,2.688211035279188,4.306735245093011,1.201141751015611,2.77395606480083,0.9042802021851793,0.7685509988248114,2.9468091120129762,8.236960804960578,44.04744899786808,5.836764705244691,3.071178378795871,4.378680120338007,1.2930219219431398,2.9410804142137574,1.0940966938064571,0.6111418715816045,3.0924146395664285
3.67,8.788718255554775,44.42442540047602,5.952634716264478,2.681900370304887,4.309202118370655,1.2048566159822534,2.773992177584965,0.9052283912264277,0.7695299577019976,2.944225167517067,8.251060498842415,43.92662281951491,5.824570155184381,3.067024362054214,4.383241105655113,1.2959534937842203,2.94197341317378,1.0930241802148024,0.6121453191196615,3.0896318215024445
3.75,8.804809295355307,44.327932551052456,5.942170873770434,2.677030641296289,4.311928449943245,1.2084244725869482,2.7743960285712217,0.9061901685793609,0.7701801793913499,2.941948328748505,8.264713463856452,43.824162020101284,5.8143632671811485,3.0638057626041904,4.387601064387007,1.2986992745557027,2.942986008072515,1.0921232325649137,0.6129164596957509,3.086955350397413
