fineAGE,sex,ct,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_transversetemporal_thickness,lh_insula_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_transversetemporal_thickness,rh_insula_thickness
2.08,1,10,2.9575979640661005,2.8161369879883864,2.3560721244052805,2.87374711769689,3.017674220169294,2.9174722852291626,3.209375121229376,2.578089774566354,2.561560003189342,3.3755397697085825,2.4743124654790707,3.258138304199734,3.1113887723670115,2.465193407078832,2.6592474331449782,2.885689826939774,3.0285231221607045,2.8498970987695347,1.958970604224228,2.336793771667537,2.7442330542397855,2.6128529105495693,2.8001339689322213,3.233317209920963,2.953649267603478,3.191467819010245,2.5618583132155224,3.001133740449784,2.8912130635702096,2.563612176182897,3.440535931907797,2.873341757495054,2.8120796599205082,2.39619503020403,2.9299156767576138,3.0578759392018076,2.9136383422713443,3.1937120439153652,2.543966323240526,2.5965780106207914,3.3220360080241624,2.547194877360047,3.290342949315904,3.1486811379194246,2.455741275614794,2.677123133051236,2.8380524440693478,2.982859806725403,2.8200063065288976,2.0136715370309908,2.2800976922661014,2.7475834612996812,2.603824094460483,2.8244765462130976,3.3589243760888605,2.919564260617814,3.1680545302559637,2.572174755292198,3.043758962979669,2.8647431670797863,2.612188198905606,3.4903487068181738
1.66,1,10,2.923436065669356,2.8021070156148733,2.345861648689503,2.7791207354490863,3.0230582373912798,2.9289442788448263,3.219490289604093,2.5901654191658605,2.57529469780871,3.4246652804938127,2.4711512117933605,3.3024644896846995,3.124851426914078,2.441328395301391,2.641784629610493,2.888961780676835,3.050366050217842,2.8697253289718927,1.9583553425929798,2.3296233044361343,2.7348889892111283,2.585913111086049,2.815166732849499,3.243033317600751,2.9891413089777075,3.210787246131004,2.5701959904034704,2.9843887508924913,2.8981583549466254,2.5705684423283994,3.439618780318266,2.9071504256267735,2.7966270181982233,2.413052104699359,2.8295166449105555,3.0492752123659765,2.926443412725609,3.185430436794963,2.5507205937982156,2.5997597379737876,3.361784102162317,2.5472780985060135,3.33566831503921,3.158671891931287,2.4219152796073344,2.665260127406905,2.827681341592392,2.9809090361118225,2.827540752775447,2.0263063108510115,2.25845543203064,2.7265350079591424,2.5766653439156117,2.837849515526107,3.3489573210633203,2.949825115941305,3.189159211298728,2.580171809470368,3.0197202892909116,2.8716208553700926,2.6107858143724734,3.4831234874465453
3.33,0,10,2.99758835441036,2.839053011353151,2.3400101004150424,3.0486268558484664,2.9973885174612063,2.831945416396066,3.172224908257432,2.545196433225512,2.4870196906773243,3.2330641850742157,2.4634471935074314,3.1323928304591324,3.048449297580394,2.5102166968504673,2.692301222757807,2.8216432414703982,2.896736515717895,2.745655084525589,1.9281135299873382,2.322777345976408,2.7583070524378535,2.6669850231611565,2.7442683930373852,3.1780268324098833,2.845376690557621,3.1389901083288283,2.5092987163915264,2.9890017307692034,2.864858129882209,2.539180396423958,3.434231955175106,2.772980029582445,2.835127769714861,2.3065004170431322,3.1177752392438696,3.05447654198613,2.8454284359107214,3.1877247538013473,2.524348969834684,2.5539981648431116,3.2185525132199926,2.5283951941657548,3.1650585833079132,3.0887218567050923,2.5555602364959573,2.6987090452546805,2.8342725894208867,2.9717571270620358,2.765267803691826,1.957721770774501,2.3120791879334988,2.77032343845684,2.657696475958127,2.763037783317397,3.33135574685139,2.8445336941739074,3.113809322136594,2.5172536291536325,3.047848908212077,2.8407132189267177,2.592536725274678,3.43239134310878
1.83,1,10,2.9387066008811424,2.808169379699655,2.3510725105112527,2.819595170158066,3.020965760364498,2.924315722597438,3.2155394970231574,2.5852156423153727,2.56971419595322,3.4043175342044947,2.472843526145757,3.2846661877183414,3.1193736050772234,2.4515174561314708,2.6492380812186833,2.8877769165895835,3.04140537265492,2.8615993649650724,1.9592698855307358,2.3328811751017957,2.738950760142245,2.597347590665176,2.809091232150327,3.2398133125663193,2.97437438442297,3.20286526252153,2.5669334822990457,2.991660766825212,2.8954628963606583,2.5678287225466283,3.4401739258366084,2.893016671905676,2.8033487393990937,2.4065215079928297,2.872413151101853,3.0534626817555486,2.9212673961110793,3.1894886932458837,2.548037147949984,2.598716964587705,3.3453939772394623,2.5476221191703576,3.3172859588387267,3.1546557915725755,2.4363118089054794,2.6703411627876354,2.8322779544128416,2.9820428795590215,2.824555745561333,2.0215657526635122,2.267926989573543,2.736127111562567,2.588207001414984,2.8324997602282904,3.3546379584567294,2.93727064390143,3.1804424358205217,2.577058697584371,3.030079461898609,2.868909521183708,2.611838510915194,3.4864091104111603
2.5,0,10,2.980577003660704,2.826982913440175,2.357901056017706,2.9503327192307682,3.0115699261414024,2.855223191223742,3.1980692135286475,2.566528935238432,2.513295909298814,3.3112225880439183,2.4740473314658153,3.213766087525537,3.0738845880822687,2.4846636664084265,2.6735128394407552,2.833803066998413,2.9350250442114105,2.7807475202974876,1.9540613626202252,2.323118971449923,2.7512557004824254,2.6353908033748485,2.774351079156423,3.2184236349704882,2.8991443083812487,3.172996900703087,2.530357856345605,2.976085291221673,2.883307070560313,2.556025753176951,3.4399263519235315,2.82145385076605,2.823654983955152,2.3517522237410584,3.0115639877451463,3.0611167562588473,2.8710189234878376,3.196489035818456,2.5370437098025684,2.5702887009807176,3.28479163694141,2.5439762569193825,3.2459896770141095,3.1095992187423316,2.5174914707312404,2.6866672663117726,2.830054337309947,2.9819529320553926,2.7827960731031673,1.9979361332592251,2.2960442290313026,2.7608710348833325,2.626426911170745,2.792041377356713,3.3573453860216116,2.8918438193054623,3.1483976124085946,2.538110042990838,3.0260269909554025,2.8572637096859683,2.609563975698963,3.432852961316822
3,1,10,2.995040426923171,2.835743194352188,2.350337191367431,3.0179834945023782,3.0033637730165976,2.8919118289366432,3.1830572483237973,2.5534372626397976,2.5320900317362405,3.281379498709697,2.4692641834298428,3.1633047363070785,3.0827302624091986,2.502112427157916,2.6863265240054397,2.8744762594396875,2.9841428313081892,2.8093718419512554,1.9410138769005651,2.342187377687308,2.756589200426702,2.656482180736034,2.7669384983507896,3.1955372641666515,2.887539477546095,3.1521140445955207,2.5403383235172887,3.0234755724704487,2.872642558611455,2.5461726641228086,3.437210025060328,2.812317337908028,2.8323796720453873,2.3507853037681423,3.0843161391606277,3.059018811484805,2.885386436294894,3.1933538388566194,2.52913469366238,2.5824997922184814,3.2437175914502783,2.53605646026224,3.1959005859821037,3.1259909213747954,2.5093847506441853,2.695005856654401,2.8492024989622573,2.977147364618159,2.8016269866682855,1.975160738242376,2.308073582719034,2.7688645988497878,2.647394749760286,2.7933526460562685,3.3446416048407936,2.8621556251272806,3.1268841928337285,2.551066585828547,3.078162899231913,2.8475749741615375,2.6011897883206,3.4957000758003844
4.08,1,10,2.984322809886165,2.8392650109088953,2.301828928129388,3.076850699105379,2.9821546944507,2.861150343234197,3.144872113271836,2.527649226344411,2.498573358728691,3.194405874251617,2.4423600554138813,3.071725961747502,3.0505438666040705,2.5185454987413096,2.698539120510588,2.854222718483823,2.938117254353291,2.7668938637758838,1.8861107512817257,2.330449271023914,2.756881473524987,2.6807487012798052,2.727502861770978,3.1328392756539136,2.8303175631409694,3.1111110874199865,2.5093699727928716,3.0245817814624134,2.844960553880803,2.5218420902163685,3.4239583634645867,2.763514622160172,2.832471441341297,2.2826121034910227,3.1507685241015824,3.035619814950619,2.8518659958083683,3.1649452685616253,2.5153828906184033,2.5535179348885357,3.167107497355353,2.5037846049349897,3.1030811599465036,3.097942892385545,2.5365241561919616,2.7018014412851,2.842024000773594,2.9529456668677967,2.776765542508339,1.9109689605454996,2.310125600437501,2.764101732940067,2.670649437872834,2.753608256412123,3.289906912201827,2.8103164342869027,3.0874176530277078,2.5199959350632737,3.0865702737767418,2.82373670792811,2.5636259102297316,3.483628246487328
6.66,0,10,2.741860511653195,2.7624562487817186,2.0134777387086884,2.7346108916052714,2.912210133118092,2.7337070964856673,3.021781565852749,2.479823393659506,2.3885150849710266,3.0706020837087564,2.2863807672743084,2.9877553860971493,2.9557408005100143,2.440175386258189,2.6421343407171225,2.7273882629892996,2.782069430084426,2.637539432453305,1.6070882642596764,2.20551951918763,2.6954461970358334,2.620900343883852,2.620579918999562,2.9349012698726185,2.760395694558343,3.035870176755411,2.388215528894111,2.8797127421191404,2.7531178470451496,2.4468527112760516,3.3514381783797202,2.7249469216644173,2.7289130731489295,2.029606539968102,2.8076471043053886,2.8715107980418466,2.740480409845101,2.9712341143420815,2.5099039254190996,2.408760058772745,3.0511074088189067,2.3427708063811994,2.9898292686702614,2.9959072494691403,2.4784826164084404,2.6559700086917055,2.721212948668864,2.818644749215036,2.673871119056365,1.6746326262165105,2.1927530366635217,2.628335216187377,2.6042613401625556,2.6261023191397155,3.01100177137623,2.754473325965273,3.0318862997197953,2.393227235135444,2.930302022038746,2.7506832043221756,2.3661165904447787,3.3128298148941733
2.41,0,10,2.9765267367829455,2.824926831324019,2.3581668793057453,2.935440258094834,3.012938624694815,2.857718317537297,3.200592148846555,2.568962919752675,2.5161864807408025,3.32060081885224,2.4743925918004566,3.223181401664523,3.0766984527395698,2.4808614343857047,2.670725135308184,2.834849827097494,2.9394096116664015,2.784748038236468,1.9555784159403773,2.3224633421496472,2.749946273277213,2.6309318235833654,2.777595153943269,3.2219877123101974,2.905755965834397,3.1768835240371485,2.5324226569707626,2.9737217356765058,2.885082087312191,2.557704464169028,3.4401855020781587,2.827585376354872,2.8215009642224533,2.356089177833079,2.9956464256671147,3.0608314995536827,2.8737801811850443,3.1963274158920068,2.5385196217011483,2.571577693288745,3.292561800997847,2.5449299107299463,3.255354772609118,3.1118089143836394,2.511989919777834,2.6848173060943745,2.828820008244561,2.9823878294192685,2.7845707761900655,2.0015690279154392,2.2930881850413924,2.7585828124796055,2.621966985693398,2.795063385955771,3.3584815043898195,2.8975700524888035,3.1524879310660716,2.5401304078538507,3.022434864523249,2.858917109689786,2.6104652838743982,3.432199451242036
2,0,10,2.951997531163258,2.8137100943737914,2.3548050590655234,2.8571139440811475,3.018755278804323,2.869013279449047,3.2113936229993545,2.580350207144868,2.529456998202823,3.3655601114689553,2.473974487864933,3.2666486492765126,3.0896553739480175,2.4609865150015575,2.6561676962044327,2.8389455275026885,2.959960127385806,2.803456187377821,1.9592793369520598,2.3177616351151116,2.7426322079275796,2.6080608961975615,2.792329391241043,3.23560837838369,2.9378104480474425,3.195082291977322,2.5412874525987776,2.960570243007033,2.8926100439129696,2.5649857627803514,3.4404789435631002,2.8576850589016765,2.8094352311148567,2.37443550727394,2.912237685451652,3.056678847024484,2.886325536755041,3.192578853674748,2.545279873432876,2.5762676735765653,3.3294140427718295,2.5474524604717947,3.2989388690998784,3.1217413260066458,2.483526446571216,2.6750422922052617,2.8212733994106243,2.982708548693886,2.7923436954501537,2.016317211451039,2.2764263638228415,2.744235719666635,2.5990022502532435,2.808525885479417,3.358033143226824,2.9251323734767576,3.171962850571041,2.548737182721406,3.0030356078746525,2.866099597841476,2.6122315194551957,3.427480431462384
