rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV	rh_temporalpole_area
m097828/	509.0	1927.0	1696.0	276.0	1945.0	4695.0	2842.0	762.0	4277.0	2024.0	2206.0	1122.0	3482.0	555.0	1407.0	1342.0	479.0	1192.0	1131.0	3894.0	966.0	3587.0	3593.0	425.0	2816.0	7052.0	3970.0	4052.0	3219.0	348.0	1726.0	69518.2	985446.0	1356868.15865	0.0
m097830/	739.0	1642.0	2016.0	304.0	2991.0	5443.0	3505.0	972.0	5173.0	2396.0	2483.0	1056.0	4060.0	689.0	1522.0	1377.0	704.0	1519.0	1243.0	4688.0	1516.0	4278.0	4334.0	560.0	4431.0	8264.0	4533.0	4933.0	4108.0	346.0	1976.0	83803.3	1145736.0	1171973.0713	0.0
m097833/	793.0	1537.0	1604.0	375.0	2626.0	4950.0	3764.0	866.0	4201.0	2133.0	2361.0	1166.0	3783.0	456.0	1644.0	1449.0	608.0	1411.0	1108.0	3966.0	1247.0	3601.0	3756.0	563.0	3253.0	7379.0	4697.0	4691.0	3357.0	367.0	1718.0	75429.9	970442.0	891359.765597	0.0
m098256/	828.0	3150.0	2230.0	298.0	2209.0	4127.0	3369.0	711.0	4765.0	2115.0	2724.0	1094.0	4084.0	512.0	1766.0	1643.0	508.0	1242.0	1614.0	3565.0	1183.0	6057.0	3190.0	630.0	3685.0	9644.0	2931.0	4188.0	2173.0	358.0	1517.0	78110.1	1038090.0	1291952.76275	0.0
m098904/	479.0	1931.0	1692.0	282.0	2216.0	4312.0	2649.0	724.0	3654.0	1962.0	2004.0	991.0	3211.0	483.0	1742.0	1094.0	529.0	1020.0	1063.0	3958.0	1153.0	3680.0	3758.0	394.0	3077.0	7412.0	4452.0	4242.0	2960.0	332.0	1509.0	68966.5	957161.0	1173897.16594	0.0
m098922/	837.0	2318.0	1660.0	335.0	2169.0	5432.0	3652.0	975.0	4763.0	2727.0	2496.0	1256.0	4416.0	594.0	1337.0	1466.0	567.0	1129.0	914.0	5041.0	1266.0	4261.0	4010.0	865.0	4416.0	8473.0	4275.0	5061.0	3545.0	385.0	1809.0	82450.9	1142547.0	1055066.90804	0.0
m099018/	1044.0	2721.0	2084.0	339.0	2511.0	6371.0	3780.0	1075.0	4834.0	2943.0	2877.0	1400.0	4483.0	603.0	1557.0	1447.0	684.0	1710.0	1565.0	4814.0	1457.0	4615.0	4583.0	842.0	4148.0	8623.0	4712.0	4347.0	3230.0	297.0	1805.0	87501.4	1200477.0	1094140.13226	0.0
m099082/	530.0	1448.0	1177.0	237.0	1634.0	4058.0	2438.0	685.0	3954.0	2335.0	2001.0	967.0	2868.0	513.0	1200.0	909.0	558.0	898.0	837.0	3586.0	961.0	3367.0	2855.0	344.0	3083.0	6672.0	3407.0	3562.0	2453.0	279.0	1284.0	61100.2	850365.0	1062872.36954	0.0
m099605/	639.0	2117.0	1713.0	231.0	2564.0	4458.0	2670.0	863.0	4393.0	2290.0	2389.0	1214.0	3588.0	511.0	1448.0	1324.0	583.0	1195.0	1060.0	3986.0	1192.0	4068.0	3449.0	543.0	3693.0	7338.0	3326.0	4473.0	3065.0	341.0	1467.0	72189.5	912970.0	1224255.87906	0.0
m099652/	662.0	2480.0	1873.0	387.0	2568.0	5597.0	2913.0	878.0	4932.0	2837.0	2728.0	1384.0	4614.0	688.0	1521.0	1608.0	603.0	1328.0	1360.0	4388.0	1216.0	4142.0	4188.0	662.0	4092.0	7092.0	4050.0	5570.0	3593.0	303.0	1681.0	81937.9	1088315.0	1249176.74566	0.0
m099765/	529.0	1312.0	1642.0	212.0	1868.0	4552.0	2240.0	885.0	4325.0	1697.0	2107.0	747.0	2948.0	472.0	1183.0	1101.0	456.0	1299.0	1193.0	3656.0	1132.0	3259.0	3374.0	477.0	2692.0	5534.0	3623.0	3571.0	2697.0	274.0	1440.0	62495.9	842433.0	1005390.61666	0.0
m099790/	739.0	2829.0	1933.0	350.0	2706.0	5075.0	3614.0	1047.0	5071.0	2210.0	2897.0	1224.0	4195.0	568.0	1674.0	1706.0	573.0	1436.0	1318.0	4261.0	1452.0	4582.0	4295.0	720.0	3630.0	8093.0	4151.0	4576.0	3271.0	314.0	1833.0	82345.7	1099363.0	1285479.82959	0.0
m100119/	785.0	2238.0	2068.0	254.0	2749.0	5502.0	3209.0	990.0	4701.0	3062.0	2401.0	1167.0	4034.0	600.0	1351.0	1614.0	483.0	1186.0	1274.0	4583.0	1241.0	4325.0	4407.0	681.0	3761.0	7453.0	5123.0	4845.0	3851.0	347.0	1767.0	82056.1	1114467.0	1432562.96663	0.0
m100161/	674.0	1671.0	1576.0	340.0	2118.0	3940.0	2855.0	886.0	3823.0	2236.0	2468.0	1006.0	3200.0	521.0	1237.0	1167.0	473.0	939.0	1097.0	3844.0	1116.0	4155.0	3413.0	555.0	3537.0	6945.0	3705.0	4024.0	2834.0	270.0	1529.0	68151.4	949148.0	1099850.86276	0.0
m100192/	632.0	1718.0	1852.0	316.0	1936.0	4297.0	3023.0	901.0	4335.0	2478.0	2093.0	1069.0	3708.0	437.0	1253.0	1360.0	574.0	1208.0	849.0	4057.0	1177.0	3922.0	3822.0	527.0	2957.0	6828.0	4494.0	4139.0	3140.0	319.0	1651.0	71072.8	936375.0	1106271.17776	0.0
m100246/	726.0	1780.0	1920.0	308.0	2831.0	5587.0	3382.0	955.0	5237.0	2459.0	2376.0	1334.0	4388.0	607.0	1588.0	1288.0	611.0	1469.0	1120.0	3801.0	1326.0	4443.0	4063.0	755.0	4659.0	8438.0	4404.0	4580.0	3025.0	346.0	1748.0	81552.4	1127106.0	1206612.58976	0.0
